Local Date/Time,Remote Date/Time,Unix time,Unix milliseconds,Uptime (s),Counter,Time integer seconds (s),Time nanoseconds (ns),MAG0 calibrated vector X component (uT),MAG0 calibrated vector Y component (uT),MAG0 calibrated vector Z component (uT),MAG1 calibrated vector X component (uT),MAG1 calibrated vector Y component (uT),MAG1 calibrated vector Z component (uT),MAG0 valid flag,MAG1 valid flag,MAG0 best for estimators flag,MAG1 best for estimators flag,Time integer seconds (s),Time nanoseconds (ns),MAG0 raw vector X component (uT),MAG0 raw vector Y component (uT),MAG0 raw vector Z component (uT),MAG1 raw vector X component (uT),MAG1 raw vector Y component (uT),MAG1 raw vector Z component (uT),MAG0 valid flag,MAG1 valid flag,Time integer seconds (s),Time nanoseconds (ns),CSS0 raw measurement,CSS1 raw measurement,CSS2 raw measurement,CSS3 raw measurement,CSS4 raw measurement,CSS5 raw measurement,CSS6 raw measurement,CSS7 raw measurement,CSS8 raw measurement,CSS9 raw measurement,CSS valid flag,Time integer seconds (s),Time nanoseconds (ns),Estimated ORC quaternion Q0,Estimated ORC quaternion Q1,Estimated ORC quaternion Q2,Estimated ORC quaternion Q3,Estimated body rate (ORC) X component (degps),Estimated body rate (ORC) Y component (degps),Estimated body rate (ORC) Z component (degps),
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:24:32.851,1776831872,851,419035540,2353913,1776831872,800000000,-37.410000000000004,-20.48,3.33,0,0,0,True,False,True,False,1776831872,800000000,20.48,-37.410000000000004,3.33,0,0,0,True,False,1776831872,800000000,3,3,8,3,15,3,3,3,8,126,True,1776831872,800000000,-0.39967465,0.5240666,0.007104322,0.74172044,-0.023350606,0.03682717,-0.008716372,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:24:42.851,1776831882,851,419045540,2353923,1776831882,800000000,-37.42,-20.39,3.0300000000000002,0,0,0,True,False,True,False,1776831882,800000000,20.39,-37.42,3.0300000000000002,0,0,0,True,False,1776831882,800000000,4,4,8,3,15,3,3,3,8,126,True,1776831882,800000000,-0.40191054,0.5263671,0.007025527,0.7388788,-0.02212238,0.031583678,0.0036127833,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:24:52.852,1776831892,852,419055541,2353933,1776831892,800000000,-37.38,-20.19,2.65,0,0,0,True,False,True,False,1776831892,800000000,20.19,-37.38,2.65,0,0,0,True,False,1776831892,800000000,4,4,8,3,14,3,3,3,9,126,True,1776831892,800000000,-0.4035278,0.528829,0.0067032385,0.7362362,-0.015591598,0.038892463,-0.0015626058,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:25:02.851,1776831902,851,419065540,2353943,1776831902,800000000,-37.45,-20.02,2.13,0,0,0,True,False,True,False,1776831902,800000000,20.02,-37.45,2.13,0,0,0,True,False,1776831902,800000000,4,4,8,3,14,3,3,4,9,126,True,1776831902,800000000,-0.4050257,0.5313099,0.00632387,0.7336261,-0.016387897,0.046179708,0.00820844,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:25:12.851,1776831912,851,419075540,2353953,1776831912,800000000,-37.49,-19.71,1.6600000000000001,0,0,0,True,False,True,False,1776831912,800000000,19.71,-37.49,1.6600000000000001,0,0,0,True,False,1776831912,800000000,3,3,8,3,13,3,3,3,8,126,True,1776831912,800000000,-0.4064892,0.53382856,0.0060345023,0.73098576,-0.022033129,0.043463066,-0.0019583732,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:25:22.852,1776831922,852,419085542,2353963,1776831922,800000000,-37.54,-19.400000000000002,1.1,0,0,0,True,False,True,False,1776831922,800000000,19.400000000000002,-37.54,1.1,0,0,0,True,False,1776831922,800000000,3,3,8,3,13,3,3,3,8,125,True,1776831922,800000000,-0.40761715,0.53638726,0.0057984632,0.728483,-0.017560134,0.04330917,0.0030032054,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:25:32.852,1776831932,852,419095541,2353973,1776831932,800000000,-37.53,-19.16,0.5,0,0,0,True,False,True,False,1776831932,800000000,19.16,-37.53,0.5,0,0,0,True,False,1776831932,800000000,4,4,8,3,13,3,3,3,9,125,True,1776831932,800000000,-0.4091348,0.539038,0.005815368,0.72566956,-0.020532502,0.038119134,0.0005314007,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:25:42.852,1776831942,852,419105542,2353983,1776831942,800000000,-37.52,-18.87,-0.09,0,0,0,True,False,True,False,1776831942,800000000,18.87,-37.52,-0.09,0,0,0,True,False,1776831942,800000000,3,3,8,3,12,3,3,3,8,125,True,1776831942,800000000,-0.41067964,0.54170054,0.0056792274,0.72280985,-0.015968211,0.03547139,0.000577848,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:25:52.852,1776831952,852,419115541,2353993,1776831952,800000000,-37.550000000000004,-18.7,-0.52,0,0,0,True,False,True,False,1776831952,800000000,18.7,-37.550000000000004,-0.52,0,0,0,True,False,1776831952,800000000,3,3,8,3,12,3,3,3,8,124,True,1776831952,800000000,-0.4121534,0.54429984,0.0055630025,0.72001266,-0.021337993,0.03536044,-0.004382807,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:26:02.851,1776831962,851,419125541,2354003,1776831962,800000000,-37.46,-18.48,-1.16,0,0,0,True,False,True,False,1776831962,800000000,18.48,-37.46,-1.16,0,0,0,True,False,1776831962,800000000,3,3,8,3,11,3,3,3,9,124,True,1776831962,800000000,-0.41374308,0.5468447,0.005437706,0.717167,-0.016682032,0.037738364,0.003172256,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:26:12.851,1776831972,851,419135541,2354013,1776831972,800000000,-37.46,-18.17,-1.51,0,0,0,True,False,True,False,1776831972,800000000,18.17,-37.46,-1.51,0,0,0,True,False,1776831972,800000000,3,3,8,3,11,3,3,3,9,124,True,1776831972,800000000,-0.41519707,0.5493003,0.0053228606,0.71444637,-0.014471203,0.035086486,-0.0042707357,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:26:22.852,1776831982,852,419145542,2354023,1776831982,800000000,-37.47,-17.990000000000002,-1.93,0,0,0,True,False,True,False,1776831982,800000000,17.990000000000002,-37.47,-1.93,0,0,0,True,False,1776831982,800000000,3,3,8,3,11,3,3,3,9,124,True,1776831982,800000000,-0.41673735,0.5517409,0.005168652,0.711665,-0.022219893,0.03495961,-0.009208953,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:26:32.852,1776831992,852,419155542,2354033,1776831992,800000000,-37.36,-17.75,-2.5,0,0,0,True,False,True,False,1776831992,800000000,17.75,-37.36,-2.5,0,0,0,True,False,1776831992,800000000,3,3,8,3,11,3,3,3,9,123,True,1776831992,800000000,-0.41842934,0.5541379,0.005075238,0.70880467,-0.02747826,0.03978873,-0.009140564,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:26:42.851,1776832002,851,419165541,2354043,1776832002,800000000,-37.32,-17.47,-2.9,0,0,0,True,False,True,False,1776832002,800000000,17.47,-37.32,-2.9,0,0,0,True,False,1776832002,800000000,3,3,7,3,11,3,3,3,9,123,True,1776832002,800000000,-0.420144,0.5565598,0.00502998,0.7058875,-0.022745801,0.032112557,-0.004073374,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:26:52.852,1776832012,852,419175542,2354053,1776832012,800000000,-37.300000000000004,-17.29,-3.41,0,0,0,True,False,True,False,1776832012,800000000,17.29,-37.300000000000004,-3.41,0,0,0,True,False,1776832012,800000000,3,3,8,3,10,3,3,3,9,123,True,1776832012,800000000,-0.4219644,0.55890846,0.004962199,0.70294124,-0.02802664,0.039418794,-0.0065065087,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:27:02.852,1776832022,852,419185542,2354063,1776832022,800000000,-37.13,-17.01,-3.96,0,0,0,True,False,True,False,1776832022,800000000,17.01,-37.13,-3.96,0,0,0,True,False,1776832022,800000000,3,3,8,3,10,3,3,3,9,122,True,1776832022,800000000,-0.42372754,0.5612135,0.0049395333,0.7000399,-0.018306253,0.036719937,-0.0039492003,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:27:12.852,1776832032,852,419195542,2354073,1776832032,800000000,-37.07,-16.740000000000002,-4.36,0,0,0,True,False,True,False,1776832032,800000000,16.740000000000002,-37.07,-4.36,0,0,0,True,False,1776832032,800000000,3,3,8,3,10,3,3,3,9,122,True,1776832032,800000000,-0.4255949,0.56346554,0.004973349,0.6970937,-0.031100733,0.03150009,-0.00139617,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:27:22.852,1776832042,852,419205542,2354083,1776832042,800000000,-37.11,-16.59,-4.88,0,0,0,True,False,True,False,1776832042,800000000,16.59,-37.11,-4.88,0,0,0,True,False,1776832042,800000000,3,3,8,3,10,3,3,3,9,122,True,1776832042,800000000,-0.42753237,0.56573594,0.0048515396,0.69406617,-0.023910305,0.048771784,-0.0013832934,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:27:32.852,1776832052,852,419215542,2354093,1776832052,800000000,-36.84,-16.4,-5.23,0,0,0,True,False,True,False,1776832052,800000000,16.4,-36.84,-5.23,0,0,0,True,False,1776832052,800000000,3,3,8,3,10,3,3,3,9,122,True,1776832052,800000000,-0.42933074,0.56797045,0.004751886,0.6911268,-0.024207361,0.036053296,-0.0038712332,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:27:42.852,1776832062,852,419225542,2354103,1776832062,800000000,-36.75,-16.12,-5.73,0,0,0,True,False,True,False,1776832062,800000000,16.12,-36.75,-5.73,0,0,0,True,False,1776832062,800000000,3,3,8,3,9,3,3,3,9,121,True,1776832062,800000000,-0.43127015,0.5701092,0.0047287033,0.68815184,-0.037006043,0.043290105,-0.006377049,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:27:52.852,1776832072,852,419235543,2354113,1776832072,800000000,-36.6,-15.84,-6.13,0,0,0,True,False,True,False,1776832072,800000000,15.84,-36.6,-6.13,0,0,0,True,False,1776832072,800000000,3,3,8,3,9,3,3,3,9,121,True,1776832072,800000000,-0.43323243,0.5723261,0.004683913,0.68507296,-0.027326643,0.038036067,-0.006386494,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:28:02.852,1776832082,852,419245542,2354123,1776832082,800000000,-36.550000000000004,-15.58,-6.640000000000001,0,0,0,True,False,True,False,1776832082,800000000,15.58,-36.550000000000004,-6.640000000000001,0,0,0,True,False,1776832082,800000000,4,4,8,3,9,3,3,3,9,121,True,1776832082,800000000,-0.4352129,0.5744685,0.0047479426,0.6820175,-0.02513684,0.035263374,-0.0038633824,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:28:12.851,1776832092,851,419255542,2354133,1776832092,800000000,-36.56,-15.200000000000001,-7.23,0,0,0,True,False,True,False,1776832092,800000000,15.200000000000001,-36.56,-7.23,0,0,0,True,False,1776832092,800000000,3,3,8,3,9,3,3,3,9,120,True,1776832092,800000000,-0.43705752,0.5766704,0.0048251017,0.6789729,-0.022934312,0.040003195,-0.0038238321,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:28:22.851,1776832102,851,419265542,2354143,1776832102,800000000,-36.42,-14.88,-7.71,0,0,0,True,False,True,False,1776832102,800000000,14.88,-36.42,-7.71,0,0,0,True,False,1776832102,800000000,3,3,7,3,9,3,3,3,9,120,True,1776832102,800000000,-0.4390233,0.5787617,0.0047621774,0.6759192,-0.03073765,0.042222526,-0.006297801,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:28:32.852,1776832112,852,419275542,2354153,1776832112,800000000,-36.28,-14.6,-8.23,0,0,0,True,False,True,False,1776832112,800000000,14.6,-36.28,-8.23,0,0,0,True,False,1776832112,800000000,4,4,7,3,9,4,3,3,10,120,True,1776832112,800000000,-0.44089976,0.5808393,0.0048909266,0.6729088,-0.026015647,0.041948676,-0.0037258582,
2026/5/4 下午 03:35:46.079,2026/4/22 上午 04:28:42.851,1776832122,851,419285542,2354163,1776832122,800000000,-36.08,-14.31,-8.71,0,0,0,True,False,True,False,1776832122,800000000,14.31,-36.08,-8.71,0,0,0,True,False,1776832122,800000000,3,3,7,3,9,3,3,3,9,119,True,1776832122,800000000,-0.44295648,0.5828595,0.0047736065,0.66980547,-0.028827006,0.039154906,-0.0036918907,
